scorer,,,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051
bodyparts,,,beeak,beeak,head,head,body,body,right_wing,right_wing,left_wing,left_wing,tail,tail,right_leg,right_leg,left_leg,left_leg
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,vid1,img013.png,,,,,,,,,,,,,300.0867437106415,234.2782798679346,299.79413984990384,243.0563956900636
labeled-data,vid1,img033.png,,,,,,,,,,,,,260.585222511061,243.0563956900636,260.00001478958575,250.37149220850443
labeled-data,vid1,img051.png,,,,,,,,,,,,,239.81034839868897,262.6608454299238,238.05472523426317,269.09813036615174
labeled-data,vid1,img062.png,,,,,,,,,,,,,239.81034839868897,272.901980555741,232.2026480195105,281.3874925171324
labeled-data,vid1,img072.png,,,,,,,,,,,,,233.66566732319868,284.02092726377106,233.66566732319868,291.62862764294954
labeled-data,vid1,img082.png,,,,,,,,,,,,,253.2701259926201,293.9694585288506,250.05148352450612,303.33278207245485
labeled-data,vid1,img087.png,,,,,,,,,,,,,264.0964688399125,297.7733087184398,258.8295993466351,308.59965156573224
labeled-data,vid1,img102.png,,,,,,,,,,,,,287.5047776989232,311.2330863123709,283.70092750933395,320.59640985597525
labeled-data,vid1,img120.png,,,,,,,,,,,,,323.4950525696521,323.52244846335157,319.3985985193252,330.54494112105476
labeled-data,vid1,img127.png,,,,,,,,,,,,,334.6139992776822,325.570675488515,331.39535680956817,336.6896221965451
labeled-data,vid1,img132.png,,,,,,,,,,,,,343.3921150998112,330.2523372603172,337.83264174579614,342.5416994112977
labeled-data,vid1,img148.png,,,,,,,,,,,,,354.80366566857896,339.9082646646591,350.9998154789897,349.564192069001
labeled-data,vid1,img167.png,,,,,,,,,,,,,339.588264910222,344.29732257572357,334.3213954169446,351.90502295490205
labeled-data,vid1,img171.png,,,,,,,,,,,,,336.9548301635833,351.90502295490205,330.2249413666177,357.4644963089171
labeled-data,vid1,img197.png,,,,,,,,,,,,,291.3086278885125,411.5962105453792,286.0417583952351,418.03349548160713
labeled-data,vid1,img205.png,,,,,,,,,,,,,273.45979238351686,426.519025302121,265.55948814360073,433.83412182056185
labeled-data,vid1,img210.png,,,,,,,,,,,,,258.24439162515995,437.9305758708886,250.9292951067191,444.0752569463789
labeled-data,vid1,img220.png,,,,,,,,,,,,,204.11267738869776,454.9015997936713,195.91976928804405,462.5093001728498
labeled-data,vid1,img227.png,,,,,,,,,,,,,137.3990016052979,465.72794264096376,130.08390508685707,472.4578314379293
